"WYT","Month","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
"D","9",0.998868215803656,0.999431649493183,0.999414323030432,0.999464166071692,0.999464115630349,0.999434200435503,0.999438287682273,0.999463138148088
"D","10",0.999286379987984,0.999446115618054,0.999603342063069,0.999602681220499,0.999602796627423,0.999606934674898,0.999595980746743,0.999578729938614
"D","11",0.999628668547735,0.999617810958781,0.999746327253989,0.999741735524542,0.999741758064576,0.999765535782081,0.9997775001282,0.999718030749156
"D","12",0.99971019100922,0.999625976799166,0.999577804765131,0.999603452225633,0.999603458161469,0.999573904276339,0.99957619763529,0.999582284701176
"D","1",0.999757714233473,0.999577728312473,0.999565803853757,0.999625257848892,0.999625349255173,0.999625327359983,0.999625787419429,0.999572365325817
"D","2",0.999820962831031,0.999621697131602,0.999612777501546,0.999615130603009,0.999615136989788,0.999614018519374,0.999615077208805,0.999615143968177
"D","3",0.999937809993889,0.999834320334395,0.999769657937979,0.999773573049649,0.999773688523156,0.999773590279812,0.999776032233668,0.999776132742279
"D","4",0.999781613872026,0.999547582037036,0.999735668504556,0.999733365624214,0.999733246110131,0.999746886923405,0.999758348964903,0.999724226331652
"D","5",0.999488620064767,0.999727969214095,0.999864648615559,0.999850183743193,0.99985014843263,0.999833315031831,0.99981075776598,0.999819160128226
"AN","9",0.999259751374969,0.999545800967335,0.999766182602708,0.999758435505777,0.999759377500889,0.999760014023847,0.999753023401913,0.999702740820215
"AN","10",0.999278600142936,0.999517726482984,0.999654777331256,0.999618336448997,0.999613030743471,0.999618788663661,0.999612659087204,0.999567849588085
"AN","11",0.999446079092287,0.999487760804409,0.999728803909147,0.999778941028298,0.999691117103542,0.999783990876903,0.999772814416767,0.99966808703053
"AN","12",0.999773131760136,0.999850029176935,0.999604838908308,0.999595499421029,0.999595043612949,0.999595938830487,0.999595992018286,0.999744400540482
"AN","1",0.99994695692154,0.999915231709956,0.999860942801189,0.999877757029698,0.999877790528484,0.999876153120356,0.999875992912548,0.999871758959484
"AN","2",0.999981588686764,0.999967315438405,0.999949084468745,0.999948020396429,0.999947968235896,0.999948024904063,0.999948017406456,0.999948002653355
"AN","3",0.999994312938679,0.999990785669029,0.999989619409298,0.999988391488722,0.999990150809683,0.999988629285188,0.999984436394575,0.999989178774401
"AN","4",0.99997322084263,0.999728338783819,0.999692148630182,0.999694631577178,0.999695061635012,0.999698652686843,0.999751552119258,0.99974867227522
"AN","5",0.999854307514846,0.999674685902344,0.99974095513207,0.999739454643894,0.999740260217352,0.999735903073261,0.999752199335061,0.999773382382275
"W","9",0.999433170136094,0.999447394475323,0.99983183454524,0.999837352633328,0.999837333833698,0.999838821420005,0.999839863098304,0.999796151856126
"W","10",0.999442712480642,0.999474813796854,0.999686420816766,0.999681532347348,0.999681502761327,0.999685186205448,0.999682843717436,0.999674330166244
"W","11",0.999750727481831,0.999678812347693,0.999778086832671,0.999766542044489,0.999766327295029,0.999788707355841,0.999759719143522,0.999803366519693
"W","12",0.999913859297507,0.999882887389767,0.99983559663955,0.999836880489609,0.999836899414264,0.999836833908122,0.999836746650735,0.999835726327368
"W","1",0.999962379385373,0.999922129892874,0.999924008721716,0.999924557182408,0.999924558269903,0.999924553320598,0.999924548684373,0.999924589009041
"W","2",0.999975734192406,0.999938779403471,0.999926512078028,0.999926491673577,0.999926493364533,0.999926491531325,0.999926491475243,0.999926506481137
"W","3",0.999976872351577,0.99993659490793,0.999948816808841,0.999949352736127,0.999949353528663,0.999949355562727,0.999949353030939,0.999949362953898
"W","4",0.999944839838009,0.999771740380875,0.999791348322572,0.999795552216852,0.999795530632294,0.999795548339107,0.999793852404597,0.999793652186292
"W","5",0.999863636664515,0.999801492289992,0.999841765085784,0.999841579042791,0.999841550278665,0.999842909727447,0.999843025875927,0.999842948531141
