"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
"C","2",0.00844108243961345,-0.0328567238304822,-0.0477285576858745,-0.154488928097914,-0.0500937418354484,-0.0409820294098369,-0.0337183521107819,-0.178220735680898
"C","3",0.00121694696702631,-0.00847187502271,-0.0182756881364847,0.066789334726344,0.0106865201801232,0.0631524192775557,-0.00722476228433336,0.0852054524711785
"C","4",0.8194577099097,0.801702499573695,0.451674492509819,0.74601466288313,0.901934966340104,0.617173342331944,0.44989813619725,0.576255696250053
"C","5",0.280704038855508,0.320342391664516,0.338201330765438,0.337873290705635,0.535867777465337,0.270705114126639,0.326369972690818,0.533939652582543
"D","9",-0.106937664907527,0.087378398060156,0.0876122319446206,0.0143334850166062,0.0166757618196061,-0.0738838232419847,0.0358835183475082,0.0390601589949803
"D","10",-0.130958546325435,0.00550072018868851,0.00546674895243967,0.000641816826571617,-0.00170876647416198,-0.145908269897157,-0.119665349923898,-0.13111941005942
"D","11",-0.197707439612502,-0.0791317385994511,-0.0781269725347551,0.109816833148199,0.0847124476101103,-0.000854673616415847,-0.054006478183022,-0.137875153020943
"D","12",-0.0117234133732255,0.10886105140674,0.10912080701426,-0.00506979639566284,-0.0231396909585949,0.083438004627138,-0.00169276702740078,0.0905397878662717
"D","1",0.0438404180405722,0.0498485695800417,0.0502649436479137,0.0570042978654668,0.0566622542104098,0.0783078862743468,-0.0475690364214438,-0.0279200150685429
"D","2",0.00828547665071745,-0.00692119379068346,-0.00738756186228694,-0.0191973355761642,-0.0236650654854839,0.0887786733446211,0.0377668495897956,-0.0257692767934285
"D","3",-0.0110518016648565,0.000324192374445658,0.000488674328731274,0.00167634186863456,0.00840645094506261,0.109808002247123,0.00821532664764963,0.00895215139832594
"D","4",-0.0100169942681491,0.00441286458109075,0.00435655843218088,0.0563179003545571,0.313520781629206,0.275690278147714,0.12524798756368,0.27057097134639
"D","5",0.0245043923818195,-0.0265526020863635,-0.0265471964646273,-0.136455213745314,-0.11431238386351,-0.766096209741516,-0.0801847864180643,-0.0909434975746589
"AN","9",-0.362869326248718,0.0711163456876228,0.0728829539149826,0.11228703180883,0.0894384512988296,-0.634143315875934,-0.204929196353201,-0.220862217809003
"AN","10",-0.57234134595733,-0.738399470516563,-0.731453346500296,-0.733295906288031,-0.681077743121935,-0.704206042737117,-0.770482444179137,-0.853989803310247
"AN","11",-0.597734697266355,0.219823384072042,0.149631581087156,0.235429897057371,0.29144164688094,-0.293815273914024,0.221340832779452,0.0561530087824206
"AN","12",0.499815822186311,-0.0203898434792796,-0.0266830626974604,-0.0175562504643277,-0.0178674253805019,0.254376121851932,0.595763472023924,0.455474432988961
"AN","1",0.0448702502857477,0.0211503056696999,0.0236166328948074,0.0167291314593842,0.0275771585898333,0.0939359338551775,-0.0603019316575084,0.0208216788029307
"AN","2",-0.00628841055251885,-0.0011183486239975,-0.00122350465863271,-0.00101810323197279,-0.000726819900244026,0.0103863553262298,-0.00187335161419462,0.0014554087969311
"AN","3",-0.0342388972600969,-0.0401991090649443,0.000829117822824693,-0.050736668453757,-0.0750571546376456,0.0183701962749929,-0.0128946459054834,-0.0345018905769955
"AN","4",-0.0797785500674256,-0.0122347231758402,-0.00200899839380296,-0.0153000234531014,0.0698752764890981,0.323261101409341,-0.00585985116375906,0.0747510010657185
"AN","5",0.103208378605326,-0.00792202139882684,-0.00269013381366244,-0.0110296485371484,0.127281997020746,0.716202397549978,-0.0015526476046294,0.152067942174762
"W","9",-0.244579603027189,-0.00544201575787901,-0.00538015302577825,0.000615995051930157,0.00256018864019526,-0.175672870415311,-0.201203441259074,-0.277770074733855
"W","10",-0.0692040046866714,-0.0503722575990941,-0.033653262813976,-0.0300683473017396,-0.0266787444795872,0.0171842317773454,-0.0640320691445591,-0.0826623050626903
"W","11",-0.114860115352473,-0.0517311821891875,-0.0520044465854253,-0.0250749074768642,-0.0693251928972293,-0.0763895519801753,-0.0144584259835891,0.0164615566778505
"W","12",0.0188047240622895,0.00371731288959379,0.00374391369609462,0.00147765603484825,-0.000528544710825215,0.0616958495559736,0.00828325464925432,0.00524619145094154
"W","1",0.0186055912292265,-0.00287523282265389,-0.00285584170746569,-0.00294096691727041,-0.00294165740240874,0.0410932438233072,0.0110318323342003,0.0163454910851451
"W","2",-1.81294392919879e-05,-0.000431941121614861,-0.000389054759867347,-0.000935368690955559,-0.000573267581523041,0.00541690457801512,0.000541709026383494,-0.000837667819420211
"W","3",-0.018950690109905,0.000111055583880393,0.000131177025093217,0.000194407413025709,-0.000195572562959041,0.0137814105381316,0.00125598854993807,0.000309734202583608
"W","4",-0.011838633076505,0.00801207052979536,0.00800536283897976,0.0077426405801341,0.00349007894353437,0.160427000614736,0.00803232834034685,0.00222047230177546
"W","5",0.0206631599847889,0.0143302964403765,0.0143460961636873,0.0106524057754275,-0.000911387914917044,0.350949600074777,0.0147512614733164,-0.00326610572863627
