"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
"C","4",0.00242248273387788,0.00681165217301905,0.00452037809320616,0.00778388299497147,0.00609019880736259,0.0022741924975647,0.00298927146870529,0.00598514426396408
"C","5",0.00147534678072618,-0.00144261240764489,-0.00167805844369514,-0.000950763397436244,0.000540691486724661,-0.00284432912674618,-0.000328491484379478,0.000606240443107743
"D","11",-0.00321311955865918,-0.00107227392293233,-0.0010711328228039,0.00105311299902288,0.000921442297331334,0.000531183090129602,-0.00190200973670234,-0.00152919470166969
"D","12",-0.00283433542428244,0.000339696672508109,0.000339987879954825,-0.00113800566235791,-0.00108271352598576,-0.000432939813997084,-0.000570990437000137,0.000281488243387138
"D","1",0.000707361232029335,0.0031624096000848,0.00316731455775498,0.00317831652551664,0.00324435563417421,0.000634528857442375,0.000332233047549188,0.00039530979854049
"D","2",-0.00117123986418153,2.11149439870883e-05,2.15317401032475e-05,2.40863731747346e-05,2.14244259706123e-05,0.00117225652227186,2.88365428101716e-05,2.49867271564271e-05
"D","3",0.000869823712177571,0.000196469834496625,0.0001966111761075,0.000197009353699636,0.000196595856324901,0.000760058922515286,0.000921052238724212,0.0001979277069094
"D","4",0.000156770821687017,-0.000138636835237143,-0.000145445000740263,0.000632759091702471,0.000989210333912571,-0.0050119562597445,0.00209605442254204,-0.000983376428369114
"D","5",-0.000486658439037562,-0.00101773787654438,-0.00102029406959946,-0.00207824430559984,-0.00386816121485101,-0.0041419943814215,-0.000868437319433086,-0.00350662579644103
"AN","11",-0.00674530131802616,0.00378804143038472,-0.000956012666163609,0.00392586357512247,0.00345169551238158,-0.00356732580041273,0.0021187173682233,-0.00244212480402276
"AN","12",0.00682585620244505,-0.000436841417606532,-0.000461785253132484,-0.000412962212487416,-0.000409999512682136,0.00339548253095051,0.0102309387915811,0.00770258739464417
"AN","1",0.00127300493777708,0.000921977200090207,0.0009237018433576,0.000835668719159794,0.000826693009981169,0.000842510261053018,-0.00192536340218289,0.000598773609735021
"AN","2",-0.000152763309916882,-4.07110500655538e-05,-4.34424977831178e-05,-4.04751236114208e-05,-4.0870124958943e-05,-3.54542938676025e-05,-4.07347433706171e-05,-4.1644930189948e-05
"AN","3",-4.53819975125629e-05,-6.37424720631539e-05,2.76033442181007e-05,-5.13826115582495e-05,-0.000269069543914134,1.9642335697116e-05,6.86579546579239e-06,-2.28617716369888e-05
"AN","4",-0.00065818879398203,0.000138004878354574,0.000160386262036319,0.000140155177869925,0.00315779081677095,0.00794168569481335,0.000143074237475464,0.00317905896736187
"AN","5",4.47270326083334e-05,-0.000169926488892475,-4.83243990446905e-05,-0.000137313867922137,0.00156052117639733,0.0115851438478583,-2.85861287320567e-05,0.00266605840649043
"W","11",-0.00107512203267547,-0.000677182472622731,-0.000688055437528688,0.000425507996878401,-0.000901713901887042,-0.00149052432354043,0.000331070943483239,0.00130138677085382
"W","12",-8.59740867583871e-05,6.83685062144948e-05,6.93679888358915e-05,6.55672541688779e-05,0.000106336780527535,0.000372908362936675,4.48856616170247e-05,4.95052798854414e-05
"W","1",-4.87386783697058e-05,2.95559787654196e-05,2.96141803422347e-05,2.93330336752657e-05,7.28316547927893e-05,2.76917778279488e-05,3.12819111311754e-05,7.48160805778826e-05
"W","2",7.49113540298759e-07,-1.05326349180522e-06,-9.64333683146498e-07,-1.04340556014651e-06,-1.07276007159426e-06,1.98043987643865e-06,6.06050736691201e-07,-2.92901987912975e-07
